DEBUG:2023-01-14 18:03:17,998:Affichage du niveau
DEBUG:2023-01-14 18:03:18,000:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:18,000:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:18,802:Affichage du niveau
DEBUG:2023-01-14 18:03:18,804:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:18,804:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:19,530:Affichage du niveau
DEBUG:2023-01-14 18:03:19,530:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:19,530:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:20,387:Affichage du niveau
DEBUG:2023-01-14 18:03:20,389:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:20,389:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:20,952:Affichage du niveau
DEBUG:2023-01-14 18:03:20,953:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:20,953:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:21,725:Affichage du niveau
DEBUG:2023-01-14 18:03:21,726:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:21,726:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:22,478:Affichage du niveau
DEBUG:2023-01-14 18:03:22,479:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:22,479:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:23,545:Affichage du niveau
DEBUG:2023-01-14 18:03:23,546:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:23,546:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:24,083:Affichage du niveau
DEBUG:2023-01-14 18:03:24,084:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:24,084:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:24,867:Affichage du niveau
DEBUG:2023-01-14 18:03:24,868:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:24,868:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:25,646:Affichage du niveau
DEBUG:2023-01-14 18:03:25,647:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:25,647:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:26,588:Affichage du niveau
DEBUG:2023-01-14 18:03:26,588:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:26,588:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:27,395:Affichage du niveau
DEBUG:2023-01-14 18:03:27,396:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 18:03:27,396:Vérification des conditions de blocage
DEBUG:2023-01-14 18:03:28,022:Affichage du niveau
